step,time,x0,x1,x2,x3,x4,x5,xhat0,xhat1,xhat2,xhat3,xhat4,xhat5
160,3.2000,0.3581,-0.1345,0.0031,0.0766,-1.8744,1.2700,0.0007,0.2838,0.0315,-0.9291,-1.1697,1.2963
161,3.2200,0.3596,-0.1707,0.0261,0.0788,-1.7485,1.0382,-0.0202,0.2363,0.0294,-0.9491,-1.2420,1.0418
162,3.2400,0.3612,-0.2043,0.0476,0.0850,-1.6072,1.1084,-0.0072,0.1826,0.0550,-0.7954,-1.3376,1.1157
163,3.2600,0.3630,-0.2348,0.0664,0.0952,-1.4465,0.7710,-0.1486,0.1690,0.0879,-1.3352,-1.0869,0.7905
164,3.2800,0.3651,-0.2625,0.0881,0.1088,-1.3184,1.3990,0.1081,0.0615,0.1089,-0.0489,-1.6393,1.4177
165,3.3000,0.3674,-0.2867,0.0965,0.1260,-1.1024,-0.5555,0.3167,0.0146,0.0983,0.8973,-1.5507,-0.5540
166,3.3200,0.3701,-0.3066,0.0717,0.1410,-0.8929,-1.9277,0.3072,-0.0089,0.1005,0.8100,-1.2990,-1.9024
167,3.3400,0.3731,-0.3227,0.0336,0.1493,-0.7149,-1.8786,0.4416,-0.0702,0.0515,1.3461,-1.4112,-1.8633
168,3.3600,0.3762,-0.3350,-0.0094,0.1496,-0.5145,-2.4254,0.1500,-0.0324,-0.0059,-0.0847,-0.7098,-2.4232
169,3.3800,0.3791,-0.3443,-0.0342,0.1422,-0.4140,-0.0582,0.0917,-0.2249,-0.0064,-0.3252,-2.0122,-0.0345
170,3.4000,0.3819,-0.3496,-0.0314,0.1331,-0.1135,0.3435,0.0538,-0.2257,-0.0370,-0.4906,-1.4269,0.3373
171,3.4200,0.3845,-0.3496,-0.0202,0.1252,0.1074,0.7798,-0.0982,-0.1853,-0.0264,-1.1330,-0.6837,0.7731
172,3.4400,0.3870,-0.3463,0.0046,0.1205,0.2223,1.6922,-0.0747,-0.2724,-0.0217,-0.9430,-1.1521,1.6680
173,3.4600,0.3894,-0.3400,0.0360,0.1215,0.4112,1.4466,-0.1381,-0.3301,0.0161,-1.1387,-1.2493,1.4284
174,3.4800,0.3919,-0.3297,0.0659,0.1282,0.6202,1.5513,0.2500,-0.3772,0.0875,0.7355,-1.2294,1.5700
175,3.5000,0.3946,-0.3152,0.0657,0.1385,0.8320,-1.5705,0.3309,-0.3762,0.0973,1.0560,-0.8341,-1.5432
176,3.5200,0.3975,-0.2969,0.0281,0.1441,0.9898,-2.1901,0.4787,-0.3212,0.0736,1.6468,-0.1276,-2.1511
177,3.5400,0.4004,-0.2766,-0.0236,0.1408,1.0450,-2.9831,0.5544,-0.3663,-0.0155,1.8207,-0.4097,-2.9777
178,3.5600,0.4032,-0.2547,-0.0816,0.1263,1.1439,-2.8152,0.7545,-0.3724,-0.0787,2.5408,-0.3026,-2.8145
179,3.5800,0.4056,-0.2310,-0.1456,0.0999,1.2289,-3.5856,0.9334,-0.3859,-0.1611,3.0806,-0.2820,-3.6012
180,3.6000,0.4073,-0.2056,-0.2217,0.0594,1.3127,-4.0248,0.7977,-0.3875,-0.2252,2.1681,-0.1731,-4.0295
181,3.6200,0.4080,-0.1786,-0.2864,0.0044,1.3819,-2.4428,0.9438,-0.4206,-0.3170,2.5601,-0.3417,-2.4714
182,3.6400,0.4075,-0.1500,-0.3363,-0.0616,1.4779,-2.5484,0.8081,-0.4010,-0.3456,1.6742,-0.0457,-2.5577
183,3.6600,0.4056,-0.1199,-0.3735,-0.1366,1.5313,-1.1774,0.7751,-0.4353,-0.3792,1.3108,-0.2579,-1.1833
184,3.6800,0.4021,-0.0884,-0.3902,-0.2169,1.6176,-0.4840,0.6703,-0.4506,-0.3956,0.6514,-0.2579,-0.4896
185,3.7000,0.3970,-0.0552,-0.3895,-0.2990,1.7057,0.5499,0.5343,-0.4188,-0.3934,-0.0889,0.1123,0.5458
186,3.7200,0.3903,-0.0208,-0.3677,-0.3790,1.7397,1.6292,0.3334,-0.3462,-0.3849,-1.0612,0.6945,1.6134
187,3.7400,0.3819,0.0135,-0.3210,-0.4526,1.6859,3.0437,0.2825,-0.2447,-0.3284,-1.2548,1.3296,3.0369
188,3.7600,0.3723,0.0457,-0.2597,-0.5152,1.5336,3.0824,0.3417,-0.3558,-0.2679,-0.9331,0.1122,3.0750
